Algorithm,Size,Time
TransposeRec,2048,0.0121931
TransposeRec,2048,0.0153487
TransposeRec,2048,0.0151903
TransposeRec,2048,0.0138307
TransposeRec,2048,0.0127339
TransposeRec,2048,0.0130002
TransposeRec,2048,0.0198735
TransposeRec,2048,0.0223185
TransposeRec,2048,0.0140282
TransposeRec,2048,0.0132293
TransposeRec,3072,0.0284637
TransposeRec,3072,0.0286686
TransposeRec,3072,0.0267953
TransposeRec,3072,0.0271651
TransposeRec,3072,0.0307853
TransposeRec,3072,0.0275253
TransposeRec,3072,0.0276137
TransposeRec,3072,0.0270947
TransposeRec,3072,0.0281695
TransposeRec,3072,0.0270313
TransposeRec,4096,0.0546369
TransposeRec,4096,0.0565859
TransposeRec,4096,0.0532445
TransposeRec,4096,0.0568108
TransposeRec,4096,0.0532242
TransposeRec,4096,0.0569472
TransposeRec,4096,0.0574259
TransposeRec,4096,0.0580061
TransposeRec,4096,0.0537142
TransposeRec,4096,0.0546089
