Size,S,Time
2048,2048,80.0047239
2048,1024,64.9408787
2048,512,42.2961293
2048,256,15.4116744
2048,128,13.4584733
2048,64,13.4070455
2048,32,15.2525179
2048,16,10.0051426
2048,8,14.1394496
2048,4,20.7513527
2048,2,52.3835559
2048,2048,81.7587109
2048,1024,65.8315531
2048,512,41.8605014
2048,256,14.821478
2048,128,13.3624916
2048,64,13.3590982
2048,32,15.0173069
2048,16,9.9520116
2048,8,14.0780375
2048,4,20.5473826
2048,2,51.9484168
2048,2048,78.727476
2048,1024,64.6493527
2048,512,42.7087951
2048,256,14.7484985
2048,128,13.4217515
2048,64,13.3924047
2048,32,14.997544
2048,16,9.9483641
2048,8,14.0585434
2048,4,20.5406559
2048,2,46.2689075
2048,2048,80.910211
2048,1024,63.5788813
2048,512,41.4588944
2048,256,14.747025
2048,128,13.3647728
2048,64,13.3721505
2048,32,15.0470783
2048,16,9.9330165
2048,8,14.0646201
2048,4,20.5709631
2048,2,46.3871465
2048,2048,81.6695757
2048,1024,64.2553012
2048,512,39.1301436
2048,256,15.2981928
2048,128,13.6409776
2048,64,13.386416
2048,32,15.0098156
2048,16,9.9200024
2048,8,14.0843221
2048,4,20.5876845
2048,2,46.2455745
3072,3072,308.9289313
3072,1536,230.5544396
3072,768,82.2277213
3072,384,47.2521403
3072,192,45.4224671
3072,96,44.7690674
3072,48,42.666228
3072,24,30.892965
3072,12,36.6281181
3072,6,54.2410476
3072,3,96.0328701
3072,3072,300.7198901
3072,1536,226.5939761
3072,768,77.1928695
3072,384,47.0009737
3072,192,44.9482276
3072,96,44.6804283
3072,48,42.5669452
3072,24,30.9497792
3072,12,36.678353
3072,6,54.2093524
3072,3,95.8821172
3072,3072,297.97332
3072,1536,224.8652409
3072,768,95.1313863
3072,384,47.0669671
3072,192,45.039188
3072,96,44.7450791
3072,48,42.3838273
3072,24,30.9977754
3072,12,36.7932895
3072,6,54.2770106
3072,3,95.844269
3072,3072,297.8001043
3072,1536,228.1339537
3072,768,93.9600537
3072,384,46.9976771
3072,192,44.8773312
3072,96,44.4689083
3072,48,43.7707261
3072,24,30.9386931
3072,12,36.5971121
3072,6,54.3938929
3072,3,95.7718951
3072,3072,297.5709667
3072,1536,227.9163901
3072,768,94.1788986
3072,384,46.9861586
3072,192,44.9704031
3072,96,44.4782372
3072,48,42.2829087
3072,24,30.9384976
3072,12,36.6471816
3072,6,54.2077482
3072,3,95.9968353
4096,4096,790.6243193
4096,2048,757.883606
4096,1024,636.4385461
4096,512,591.547407
4096,256,380.8847491
4096,128,116.9254645
4096,64,110.6363396
4096,32,127.3256634
4096,16,109.861681
4096,8,114.2826272
4096,4,169.6734069
4096,2,388.4705397
4096,4096,802.7966877
4096,2048,758.9249632
4096,1024,639.1348086
4096,512,592.5165098
4096,256,363.732161
4096,128,117.2793266
4096,64,108.8336254
4096,32,126.4719251
4096,16,108.6887902
4096,8,114.5734542
4096,4,169.7586869
4096,2,386.4176246
